Country,Solar,NG,Oil,Coal,Wood_log,Wood_chips,Pellets,Direct_heating_with_el,GSHP,ASHP,DHN
AT,0.45,0.67,1.00,1.00,0.48,0.48,0.78,1.00,0.54,0.56,0.46
BE,0.50,0.71,1.00,0.09,0.09,0.10,0.22,1.00,0.37,0.49,0.22
BG,0.50,0.32,1.00,0.25,0.25,0.10,0.25,1.00,0.46,0.56,0.32
CY,0.80,0.01,1.00,0.09,0.09,0.10,0.22,1.00,0.40,0.55,0.03
CZ,0.50,0.55,1.00,0.16,0.16,0.15,0.30,1.00,0.46,0.50,0.35
DE,0.50,0.76,1.00,1.00,0.10,0.10,0.17,1.00,0.77,0.54,0.25
DK,0.50,0.38,1.00,0.15,0.15,0.12,0.28,1.00,0.46,0.54,0.57
EE,0.50,0.36,1.00,0.24,0.24,0.15,0.35,1.00,0.44,0.52,0.47
ES,0.75,0.54,1.00,0.13,0.13,0.10,0.25,1.00,0.39,0.46,0.23
FI,0.40,0.17,1.00,0.16,0.16,0.11,0.28,1.00,0.50,0.59,0.52
FR,0.50,0.65,1.00,0.14,0.14,0.09,0.26,1.00,0.43,0.55,0.19
GR,0.80,0.39,1.00,0.18,0.18,0.12,0.25,1.00,0.47,0.55,0.22
HR,0.65,0.62,1.00,0.24,0.24,0.10,0.32,1.00,0.52,0.53,0.22
HU,0.50,0.74,1.00,0.16,0.16,0.12,0.30,1.00,0.51,0.51,0.29
IE,0.50,0.49,1.00,0.15,0.15,0.17,0.29,1.00,0.50,0.55,0.20
IT,0.65,0.73,1.00,0.17,0.17,0.09,0.24,1.00,0.41,0.52,0.26
LT,0.45,0.35,1.00,0.27,0.27,0.17,0.32,1.00,0.45,0.48,0.46
LU,0.50,0.68,1.00,0.11,0.11,0.12,0.27,1.00,0.51,0.52,0.28
LV,0.45,0.32,1.00,0.26,0.26,0.18,0.31,1.00,0.43,0.51,0.47
MT,0.80,0.29,1.00,0.06,0.06,0.08,0.16,1.00,0.27,0.38,0.01
NL,0.50,0.89,1.00,0.08,0.08,0.09,0.20,1.00,0.34,0.47,0.28
PL,0.50,0.37,1.00,0.20,0.20,0.20,0.52,1.00,0.59,0.53,0.22
PT,0.70,0.40,1.00,0.27,0.27,0.09,0.27,1.00,0.47,0.51,0.04
RO,0.50,0.45,1.00,0.28,0.28,0.11,0.36,1.00,0.51,0.50,0.32
SE,0.50,0.18,1.00,0.17,0.17,0.10,0.27,1.00,0.48,0.74,0.69
SK,0.50,0.68,1.00,0.12,0.12,0.13,0.27,1.00,0.51,0.51,0.46
SI,0.50,0.45,1.00,0.26,0.26,0.11,0.31,1.00,0.54,0.53,0.23
Source,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en,https://op.europa.eu/en/publication-detail/-/publication/16710ac3-eac0-11ec-a534-01aa75ed71a1/language-en
